VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2019-01-01 00:57:56,2019-01-01 01:05:14,1,1.11,1,N,170,233,2,6.5,0.5,0.5,0,0,0.3,7.8,
1,2019-01-01 00:09:11,2019-01-01 00:13:32,1,.80,1,N,262,236,1,5,0.5,0.5,2,0,0.3,8.3,
1,2019-01-01 00:19:03,2019-01-01 00:21:22,2,.50,1,N,262,263,1,4,0.5,0.5,2,0,0.3,7.3,
1,2019-01-01 00:23:34,2019-01-01 00:39:28,2,3.90,1,N,263,50,1,15,0.5,0.5,3.25,0,0.3,19.55,
1,2019-01-01 00:41:44,2019-01-01 00:48:04,1,2.40,1,N,50,151,2,8,0.5,0.5,0,0,0.3,9.3,
1,2019-01-01 00:54:47,2019-01-01 01:02:59,2,1.10,1,N,239,143,2,7.5,0.5,0.5,0,0,0.3,8.8,
2,2019-01-01 00:04:37,2019-01-01 00:06:50,1,.43,1,N,87,12,2,3.5,0.5,0.5,0,0,0.3,4.8,
2,2019-01-01 00:22:00,2019-01-01 00:33:41,2,1.30,1,N,209,209,1,8,0.5,0.5,5.08,0,0.3,14.38,
2,2019-01-01 00:35:24,2019-01-01 00:43:30,1,1.75,1,N,209,114,1,8,0.5,0.5,2.32,0,0.3,11.62,
2,2019-01-01 00:46:30,2019-01-01 00:58:14,1,1.99,1,N,114,209,2,9.5,0.5,0.5,0,0,0.3,10.8,
1,2019-01-01 00:07:49,2019-01-01 00:11:46,1,1.10,1,N,263,75,1,5.5,0.5,0.5,1.35,0,0.3,8.15,
1,2019-01-01 00:22:25,2019-01-01 00:34:13,1,2.40,1,N,140,142,1,10.5,0.5,0.5,2.95,0,0.3,14.75,
1,2019-01-01 00:37:09,2019-01-01 00:41:47,1,1.10,1,N,142,239,2,5.5,0.5,0.5,0,0,0.3,6.8,
1,2019-01-01 00:46:11,2019-01-01 00:55:28,2,1.80,1,N,239,141,1,8.5,0.5,0.5,1.96,0,0.3,11.76,
1,2019-01-01 00:06:22,2019-01-01 00:25:33,1,5.30,1,N,79,74,2,17.5,0.5,0.5,0,0,0.3,18.8,
1,2019-01-01 00:33:01,2019-01-01 00:51:04,1,5.30,1,N,263,148,1,18.5,0.5,0.5,1.98,0,0.3,21.78,
1,2019-01-01 00:56:09,2019-01-01 01:07:18,2,1.80,1,N,148,234,1,9,0.5,0.5,2.05,0,0.3,12.35,
2,2019-01-01 00:12:39,2019-01-01 00:16:21,2,.82,1,N,237,237,2,5,0.5,0.5,0,0,0.3,6.3,
